M1,M2,G1,G2
25.0,7.5,17.871,0.589
25.0,10.0,17.844,0.547
25.0,12.5,17.808,0.492
25.0,15.0,17.764,0.423
25.0,17.5,17.710,0.339
25.0,20.0,17.647,0.241
25.0,22.5,17.574,0.128
25.0,25.0,17.492,0.000
25.0,27.5,17.399,-0.144
25.0,30.0,17.296,-0.305
25.0,32.5,17.182,-0.483
25.0,35.0,17.057,-0.679
25.0,37.5,16.921,-0.892
25.0,40.0,16.773,-1.124
25.0,42.5,16.614,-1.375
25.0,45.0,16.442,-1.646
25.0,47.5,16.258,-1.937
25.0,50.0,16.062,-2.248
25.0,52.5,15.853,-2.580
25.0,55.0,15.631,-2.932
25.0,57.5,15.397,-3.306
25.0,60.0,15.150,-3.702
25.0,62.5,14.890,-4.118
25.0,65.0,14.618,-4.556
25.0,67.5,14.334,-5.014
25.0,70.0,14.038,-5.494
25.0,72.5,13.730,-5.993
25.0,75.0,13.411,-6.512
25.0,77.5,13.082,-7.050
25.0,80.0,12.742,-7.606
25.0,82.5,12.392,-8.179
25.0,85.0,12.034,-8.769
25.0,87.5,11.667,-9.374
25.0,90.0,11.292,-9.993
25.0,92.5,10.910,-10.625
25.0,95.0,10.522,-11.268
25.0,97.5,10.128,-11.922
25.0,100.0,9.729,-12.585
25.0,102.5,9.326,-13.255
25.0,105.0,8.919,-13.932
25.0,107.5,8.509,-14.613
25.0,110.0,8.098,-15.298
25.0,112.5,7.685,-15.985
25.0,115.0,7.271,-16.672
25.0,117.5,6.857,-17.358
25.0,120.0,6.445,-18.042
25.0,122.5,6.033,-18.722
25.0,125.0,5.624,-19.396
25.0,127.5,5.219,-20.063
25.0,130.0,4.817,-20.722
25.0,132.5,4.419,-21.371
25.0,135.0,4.028,-22.008
25.0,137.5,3.643,-22.632
25.0,140.0,3.265,-23.242
25.0,142.5,2.896,-23.835
25.0,145.0,2.536,-24.410
25.0,147.5,2.187,-24.965
25.0,150.0,1.850,-25.499
25.0,152.5,1.526,-26.010
25.0,155.0,1.216,-26.496
25.0,157.5,0.921,-26.955
25.0,160.0,0.644,-27.387
27.5,0.0,17.804,0.777
27.5,2.5,17.802,0.775
27.5,5.0,17.793,0.759
27.5,7.5,17.775,0.731
27.5,10.0,17.748,0.690
27.5,12.5,17.713,0.635
27.5,15.0,17.669,0.566
27.5,17.5,17.616,0.483
